Name: 广东珠江, URL: http://113.86.204.95:9999/udp/239.77.0.1:5146, Date: None, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://182.138.179.81:888/udp/239.93.0.169:5140, Date: 07-03-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://5f11df.tv.netsite.cc/proxy/1727775864/1727775864.m3u8, Date: 07-03-2024, Resolution: 1280x720, Response Time: inf ms
Name: 四川卫视, URL: http://125.71.57.148:4022/udp/239.93.0.169:5140, Date: 07-01-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: https://z02.ubtvfans.com/live/rx1/233/51e0ac8ddef10dc81035c0ea50fa3afc/index.m3u8, Date: 06-29-2024, Resolution: 1047x576, Response Time: inf ms
Name: 四川卫视, URL: http://qx.kover.eu.org:60008/udp/239.81.0.43:4056, Date: 06-28-2024, Resolution: 785x576, Response Time: inf ms
Name: 四川卫视, URL: http://101.204.186.103:8000/udp/239.93.0.169:5140, Date: 06-28-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://125.69.137.1:4022/udp/239.93.1.188:5140, Date: 06-23-2024, Resolution: 3840x2160, Response Time: inf ms
Name: 四川卫视, URL: http://58.223.166.16/live2.rxip.sc96655.com/live/scwsH265_4000.m3u8, Date: 06-23-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://110.185.240.236:8588/udp/239.93.0.169:5140, Date: 06-22-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://xyt.186738613.xyz/lngd.php?id=103&Cf.m3u8, Date: 06-20-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel31/index.m3u8, Date: 06-19-2024, Resolution: 1280x720, Response Time: inf ms
Name: 四川卫视, URL: http://120.7.86.95:808/hls/30/index.m3u8, Date: 06-18-2024, Resolution: 768x576, Response Time: inf ms
Name: 四川卫视, URL: http://wouu.net:9977/udp/239.93.0.169:5140, Date: 06-17-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://120.211.119.222:8899/hls/31/index.m3u8, Date: 06-16-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: https://test.zapi.us.kg/?id=sichuan, Date: 06-14-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://27.40.16.70:8114/GD_CUCC/G_SICHUAN-CQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace, Date: 06-10-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://histar-proxy.isus.cc/sichuan, Date: 06-10-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://110.185.219.61:58888/udp/239.93.0.169:5140, Date: 06-08-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://ayolee.com:5253/udp/239.93.0.169:5140, Date: 06-07-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://xcarchain.com:8888/udp/239.93.0.169:5140, Date: 06-06-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://wuyuanlongguo186.asuscomm.com:20000/stream/channelid/1756939825, Date: 06-05-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://218.88.40.202:8000/udp/239.93.0.169:5140, Date: 06-04-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://116.77.66.169/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295003.m3u8, Date: 05-30-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://ddns.372101.best:9981/stream/channelid/590319043?profile=pass, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://119.4.132.184:8000/udp/239.93.0.169:5140, Date: 05-26-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://171.217.4.216:8000/udp/239.93.0.169:5140, Date: 05-26-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://118.114.97.113:888/udp/239.93.1.188:5140, Date: 05-23-2024, Resolution: 3840x2160, Response Time: inf ms
Name: 四川卫视, URL: http://119.4.54.112:8848/udp/239.93.0.169:5140, Date: 05-21-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://171.213.44.194:8096/udp/239.93.0.169:5140, Date: 05-21-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://tvbox.netsite.cc/proxy/1364123916/1364123916.m3u8, Date: 05-20-2024, Resolution: 1280x720, Response Time: inf ms
Name: 四川卫视, URL: http://182.98.17.177:20000/hls/90/index.m3u8, Date: 05-18-2024, Resolution: 720x540, Response Time: inf ms
Name: 四川卫视, URL: http://125.69.139.125:8880/udp/239.93.0.169:5140, Date: 05-16-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://110.241.190.191:808/hls/31/index.m3u8, Date: 05-16-2024, Resolution: 720x576, Response Time: inf ms
Name: 四川卫视, URL: http://171.217.146.166:8888/udp/239.93.0.169:5140, Date: 05-16-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://64.140.167.170:8080/live/ydws8/hls.m3u8, Date: 05-14-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://110.185.202.31:4022/udp/239.93.0.169:5140, Date: 05-10-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://112.25.105.140/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295003.m3u8, Date: 05-09-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://118.114.96.20:8889/udp/239.93.0.169:5140, Date: 05-09-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://125.210.150.58:9090/live/hzgq-scwsgq-h264.m3u8, Date: 05-08-2024, Resolution: 1280x720, Response Time: inf ms
Name: 四川卫视, URL: http://117.10.59.110:8888/newlive/live/hls/28/live.m3u8, Date: 05-08-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295003.m3u8, Date: 05-06-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://171.88.174.168:8123/udp/239.93.0.169:5140, Date: 05-05-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://182.148.75.248:888/udp/239.93.0.169:5140, Date: 04-29-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://113.128.226.58:8888/newlive/live/hls/36/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://60.190.128.194:8888/newlive/live/hls/32/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://58.35.70.169:10055/live/sctv/hls.m3u8, Date: 04-27-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://171.214.202.134:4000/udp/239.93.0.169:5140, Date: 04-27-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/scwshd/8000000/mnf.m3u8, Date: 04-26-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://221.237.36.201:8888/udp/239.93.0.169:5140, Date: 04-25-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 四川卫视, URL: http://171.88.145.124:8888/udp/239.93.0.169:5140, Date: 04-14-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 陕西卫视, URL: http://36.32.174.67:60080/newlive/live/hls/44/live.m3u8, Date: 08-22-2024, Resolution: 768x576, Response Time: 1150 ms
Name: 陕西卫视, URL: http://58.220.219.14:9901/tsfile/live/0120_7.m3u8?key=txiptv, Date: 08-18-2024, Resolution: 768x576, Response Time: 1626 ms
Name: 陕西卫视, URL: http://video.qd.sdu.edu.cn/liverespath/ebc9ec3e297c071df95d759b6313b9d9dbc3dbda/index.m3u8, Date: 08-18-2024, Resolution: 1024x576, Response Time: inf ms
Name: 陕西卫视, URL: http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8, Date: 08-15-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 陕西卫视, URL: http://112.25.48.68/live/program/live/sxws/1300000/mnf.m3u8, Date: 08-23-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://223.110.245.139/PLTV/4/224/3221227022/index.m3u8, Date: 08-23-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000002000007495, Date: 08-06-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://43.141.130.51/dongfang5g-mobile-v51-live.bestvcdn.com.cn/SB/live/program/live/sxws/1300000/mnf.m3u8, Date: 07-30-2024, Resolution: 768x576, Response Time: inf ms
Name: 陕西卫视, URL: http://120.87.97.245:8114/GD.m3u8?Authinfo=F8UQ%2BEevMmd%2FnekE5YOOKvTKKoI90D6zih8EBEVuISOoNd58%2BpeLvDCVqfR%2Bz2zC&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.33&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4233&gAppVersionName=4.2.33&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1715182821604&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=1&gCityCode=DEFAULT&verType=0&Fsv_Tgid=517e5fcc899b5974&FvSeid=77fd5578ee739987&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=3141&Fsv_chan_hls_se_idx=28&Fsv_TBt=4357096&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_SHANXI-HQ&Fsv_CMSID=GD_CUCC, Date: 07-23-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 陕西卫视, URL: http://118.144.105.55:91/live/SXWS3-1500k/live.m3u8, Date: 07-23-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://58.248.112.205:8006/GD_CUCC/G_SHANXI-HQ.m3u8?Authinfo=3iRp8RZG1d3hGsaPmj%2FtHe8cMCaTgpWWUaOfH%2BZI9az1BWtWU81eWqPvN0PhI2pD, Date: 07-21-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 陕西卫视, URL: http://58.215.231.35/live3.ngaacdn.sc96655.com/live/sxws_4000.m3u8, Date: 07-18-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://5f11df.tv.netsite.cc/proxy/917851306/917851306.m3u8, Date: 07-17-2024, Resolution: 720x406, Response Time: inf ms
Name: 陕西卫视, URL: http://jxcbn.ws-cdn.gitv.tv/hls/SXTV/index.m3u8?gMac=unknown&livodToken=3372ee, Date: 07-16-2024, Resolution: 1280x720, Response Time: inf ms
Name: 陕西卫视, URL: http://116.162.6.191/1301-txt.otvstream.otvcloud.com/otv/skcc/live/channel55/index.m3u8, Date: 07-02-2024, Resolution: 1280x720, Response Time: inf ms
Name: 陕西卫视, URL: http://xyt.186738613.xyz/lngd.php?id=512&Cf.m3u8, Date: 06-29-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 陕西卫视, URL: http://116.136.170.12/mgsp-tx.live.miguvideo.com/migu/kailu/shan3xiws/57/20220809/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=, Date: 06-24-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://58.223.166.16/live2.rxip.sc96655.com/live/sxws_4000.m3u8, Date: 06-23-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://xyt.186738613.xyz/lngd.php?id=114&Cf.m3u8, Date: 06-20-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: https://test.zapi.us.kg/?id=shaanxi, Date: 06-14-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://27.40.16.70:8114/GD_CUCC/G_SHANXI-HQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace, Date: 06-11-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 陕西卫视, URL: http://histar-proxy.isus.cc/shaanxi, Date: 06-10-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://iptv.10086.fund:23334/PLTV/88888888/224/3221227127/index.m3u8, Date: 06-05-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://rqd.mytvh.top:10287/stream/channelid/1292650001?ticket=bb683ca7f81fe8939c8ede4b5f8c3d2075a708f2&profile=pass, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://ddns.372101.best:9981/stream/channelid/1036964400?profile=pass, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://dg8006.runqidasoftware.top:10178/stream/channelid/1364918189?ticket=d0d5ab1d5636fe5ae3ac194e2a380b8588754dbb, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://luwenchu.oicp.net:9981/stream/channelid/615980245, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://117.141.194.182:39581/stream/channelid/342703165, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://tvbox.netsite.cc/proxy/917851306/917851306.m3u8, Date: 05-22-2024, Resolution: 720x406, Response Time: inf ms
Name: 陕西卫视, URL: http://39.134.65.2:80/wh7f454c46tw3141546647_-1528198028/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8, Date: 05-17-2024, Resolution: 720x540, Response Time: inf ms
Name: 陕西卫视, URL: http://117.10.59.110:8888/newlive/live/hls/37/live.m3u8, Date: 05-08-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://61.52.157.85:808/hls/51/index.m3u8, Date: 05-06-2024, Resolution: 720x540, Response Time: inf ms
Name: 陕西卫视, URL: http://125.210.150.58:9090/live/hszx-sxtv-h264.m3u8, Date: 05-05-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://171.14.92.209:808/hls/70/index.m3u8, Date: 05-04-2024, Resolution: 1920x1080, Response Time: inf ms
Name: 陕西卫视, URL: http://tvbox.netsite.cc/proxy/1142191527/1142191527.m3u8, Date: 04-28-2024, Resolution: 768x576, Response Time: inf ms
Name: 陕西卫视, URL: http://113.128.226.58:8888/newlive/live/hls/42/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://60.190.128.194:8888/newlive/live/hls/40/live.m3u8, Date: 04-28-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/sxws/1300000/mnf.m3u8, Date: 04-24-2024, Resolution: 720x540, Response Time: inf ms
Name: 陕西卫视, URL: http://113.205.185.28:8089/newlive/live/hls/35/live.m3u8, Date: 04-12-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/sxws/1300000/mnf.m3u8, Date: 04-08-2024, Resolution: 768x576, Response Time: inf ms
Name: 陕西卫视, URL: http://xxw.me0.cn/api/migu.php?id=22, Date: 04-05-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://219.147.3.106:4455/newlive/live/hls/30/live.m3u8, Date: 04-02-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://111.75.151.236:50085/newlive/live/hls/47/live.m3u8, Date: 04-01-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://36.129.204.120:880/SXWS.m3u8, Date: 03-19-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://220.194.178.58:8888/newlive/live/hls/41/live.m3u8, Date: 03-17-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://111.207.22.10:8888/newlive/live/hls/41/live.m3u8, Date: 03-14-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://php.jdshipin.com:8880/bst.php?id=sxws/1300000, Date: 03-10-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://222.173.147.142:8888/newlive/live/hls/51/live.m3u8, Date: 03-08-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://1.82.70.21:8009/rtp/239.111.205.35:5140, Date: 03-06-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://60.211.167.226:8888/newlive/live/hls/40/live.m3u8, Date: 03-06-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://60.208.113.114:8001/newlive/live/hls/44/live.m3u8, Date: 03-04-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://escape.hw-cdn.gitv.tv/gitv_live/G_SHANXI/G_SHANXI.m3u8, Date: 03-04-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://36.96.38.246:8888/newlive/live/hls/41/live.m3u8, Date: 03-03-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://61.185.200.213:55555/rtp/239.111.205.35:5140, Date: 02-28-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://101.71.176.182:8888/newlive/live/hls/40/live.m3u8, Date: 02-26-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://1.85.226.153:8888/rtp/239.111.205.35:5140, Date: 02-26-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226322/index.m3u8, Date: 02-22-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226331/index.m3u8, Date: 02-22-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://jltpc.x3322.net:9901/tsfile/live/0136_1.m3u8?key=txiptv, Date: 02-22-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://bsdcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_SHANXI-HQ/G_SHANXI-HQ.m3u8, Date: 02-22-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://125.210.152.19:9123/live/hszx-sxtv-h264.m3u8, Date: 02-21-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://qdxiehou.7766.org:9901/tsfile/live/0136_1.m3u8, Date: 02-18-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://222.188.68.38:8888/newlive/live/hls/54/live.m3u8, Date: 02-18-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://222.89.56.108:9901/tsfile/live/0136_1.m3u8, Date: 02-17-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://39.134.19.35:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221225821/index.m3u8, Date: 02-16-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://222.189.51.62:8888/newlive/live/hls/41/live.m3u8, Date: 02-11-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://111.225.93.97:8800/hls/52/index.m3u8, Date: 02-11-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://219.144.113.82:8888/rtp/239.111.205.35:5140, Date: 02-11-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://114.253.78.248:8686/rtp/239.3.1.41:8140, Date: 02-11-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://110.241.189.229:808/hls/37/index.m3u8, Date: 02-08-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://jinjiang.chongqing.moetv.sn-m.xyz:8089/newlive/live/hls/35/live.m3u8, Date: 01-31-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://117.174.81.63:50080/newlive/live/hls/38/live.m3u8, Date: 01-26-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://lhq-cctv.8866.org:18181/tsfile/live/0136_1.m3u8, Date: 01-23-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://ictv.91tv.top:9901/tsfile/live/0136_1.m3u8, Date: 01-22-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: https://iptv.luas.edu.cn/liverespath/ebc9ec3e297c071df95d759b6313b9d9dbc3dbda/ef6e859417-0-0-62a8314666ead4b1cf49536375036d60/index.m3u8, Date: 01-21-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://101.23.217.72:8090/hls/86/index.m3u8, Date: 01-21-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://zteres.sn.chinamobile.com:6060/000000001000/1000000002000007495/1.m3u8?channel-id=ystenlive&Contentid=1000000002000007495&livemode=1&stbId=3, Date: 01-20-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://119.54.2.125:58000/hls/49/index.m3u8, Date: 01-10-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://36.33.240.48:9901/tsfile/live/0136_1.m3u8, Date: 01-09-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://121.19.134.245:808/tsfile/live/0136_1.m3u8, Date: 01-09-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://hf.bbtu.top:10000/rtp/239.3.1.41:8140, Date: 01-03-2024, Resolution: None, Response Time: inf ms
Name: 陕西卫视, URL: http://121.24.99.45:8090/hls/86/index.m3u8, Date: 12-31-2023, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://183.185.247.158:9999/tsfile/live/0118_1.m3u8, Date: 08-24-2024, Resolution: 1920x1080, Response Time: 1287 ms
Name: 山西卫视, URL: http://60.223.72.31:8003/rtp/226.0.2.11:8000, Date: 03-18-2024, Resolution: None, Response Time: 1204 ms
Name: 山西卫视, URL: http://36.32.174.67:60080/newlive/live/hls/43/live.m3u8, Date: 07-17-2024, Resolution: None, Response Time: 1215 ms
Name: 山西卫视, URL: http://video.qd.sdu.edu.cn/liverespath/74908123d020c1a9f55e8a9652973187bcd07970/index.m3u8, Date: 08-24-2024, Resolution: 1024x576, Response Time: inf ms
Name: 山西卫视, URL: http://80ec27bff7f9ae80b961481da488e302.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=d04ce01474da4193c8863ea281ec4759, Date: 08-20-2024, Resolution: 1280x720, Response Time: inf ms
Name: 山西卫视, URL: http://xyt.186738613.xyz/lngd.php?id=109&Cf.m3u8, Date: 08-15-2024, Resolution: 768x576, Response Time: inf ms
Name: 山西卫视, URL: http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8, Date: 08-14-2024, Resolution: 720x576, Response Time: inf ms
Name: 山西卫视, URL: http://118.144.105.55:91/live/SXWS1-1500k/live.m3u8, Date: 08-03-2024, Resolution: 768x576, Response Time: inf ms
Name: 山西卫视, URL: http://58.215.231.35/live3.ngaacdn.sc96655.com/live/sxws42_4000.m3u8, Date: 07-18-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://jxcbn.ws-cdn.gitv.tv/hls/SXWS/index.m3u8?gMac=unknown&livodToken=3372ee, Date: 07-16-2024, Resolution: 1280x720, Response Time: inf ms
Name: 山西卫视, URL: http://58.223.166.16/live2.rxip.sc96655.com/live/sxws42_4000.m3u8, Date: 07-15-2024, Resolution: 720x405, Response Time: inf ms
Name: 山西卫视, URL: http://123.163.55.234:9901/tsfile/live/0118_1.m3u8, Date: 07-09-2024, Resolution: 785x576, Response Time: inf ms
Name: 山西卫视, URL: http://5f11df.tv.netsite.cc/proxy/825435414/825435414.m3u8, Date: 07-08-2024, Resolution: 1280x720, Response Time: inf ms
Name: 山西卫视, URL: http://live.cooltv.top/tv/tide.php?id=sxiws2, Date: 07-06-2024, Resolution: 1280x720, Response Time: inf ms
Name: 山西卫视, URL: http://182.123.73.46:8090/hls/40/index.m3u8, Date: 07-06-2024, Resolution: 720x576, Response Time: inf ms
Name: 山西卫视, URL: http://116.117.106.40:8096/tsfile/live/0118_1.m3u8, Date: 06-18-2024, Resolution: 720x540, Response Time: inf ms
Name: 山西卫视, URL: https://test.zapi.us.kg/?id=shanxi, Date: 06-14-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://27.40.16.70:8114/GD_CUCC/G_SHANXI-SQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace, Date: 06-10-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://histar-proxy.isus.cc/shanxi, Date: 06-10-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://iptv.10086.fund:23334/PLTV/88888888/224/3221227183/index.m3u8, Date: 06-05-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://ddns.372101.best:9981/stream/channelid/686311945?profile=pass, Date: 05-30-2024, Resolution: 768x576, Response Time: inf ms
Name: 山西卫视, URL: http://rqd.mytvh.top:10287/stream/channelid/852209107?ticket=3204bd83181b4249eb3e68d20956d512df2d05f0&profile=pass, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://dg8006.runqidasoftware.top:10178/stream/channelid/130588315?ticket=c85583f30b6475e54b92076174c5d87bee1cdd34, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://luwenchu.oicp.net:9981/stream/channelid/1657772084, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://117.141.194.182:39581/stream/channelid/1475229760, Date: 05-29-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://121.24.99.94:8090/hls/35/index.m3u8, Date: 05-25-2024, Resolution: 720x576, Response Time: inf ms
Name: 山西卫视, URL: http://tvbox.netsite.cc/proxy/825435414/825435414.m3u8, Date: 05-24-2024, Resolution: 1280x720, Response Time: inf ms
Name: 山西卫视, URL: http://43.141.130.51/dongfang5g-mobile-v51-live.bestvcdn.com.cn/SB/live/program/live/shanxiws/1300000/mnf.m3u8, Date: 05-23-2024, Resolution: 768x576, Response Time: inf ms
Name: 山西卫视, URL: http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel54/index.m3u8, Date: 05-13-2024, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://117.10.59.110:8888/newlive/live/hls/40/live.m3u8, Date: 05-08-2024, Resolution: None, Response Time: inf ms
